"","d_sub2","plot","clip","avg_t_ht3","std_ht3","max_ht3","min_ht3"
"68",6,"F2","PR",4.79166666666667,8.88178419700125e-16,4.79166666666667,4.79166666666667
"69",6,"F2","PU",8.41666666666667,1.59099025766973,9.54166666666667,7.29166666666667
"70",6,"F5","CT",15.7388888888889,3.78672143935348,18.25,11.3833333333333
"71",6,"F5","PR",4.90833333333333,0.339423530906938,5.225,4.55
"72",6,"F5","PU",12.2972222222222,1.31725549421403,13.7083333333333,11.1
"73",7,"CT","CT",12.9666666666667,1.82598907748954,15.025,11.5416666666667
"74",7,"CT","PR",6.54722222222222,1.11184697854683,7.45833333333333,5.30833333333333
"75",7,"CT","PU",10.4583333333333,1.26312553260201,11.9166666666667,9.70833333333333
"76",7,"F10","CT",15.4638888888889,5.9568723927665,22.1666666666667,10.775
"77",7,"F10","PR",6.29166666666667,0.845740963757685,7.20833333333333,5.54166666666667
"78",7,"F10","PU",11.4722222222222,2.0507169026501,13.2916666666667,9.25
"79",7,"F2","CT",14.0333333333333,1.01351971970072,14.75,13.3166666666667
"80",7,"F2","PR",7.20833333333333,0.530330085889911,7.58333333333333,6.83333333333333
"81",7,"F2","PU",8.8875,0.689429111656884,9.375,8.4
"82",7,"F5","CT",15.1416666666667,3.10305628910166,18.05,11.875
"83",7,"F5","PR",8.25,1.89617670883046,10.1666666666667,6.375
"84",7,"F5","PU",11.6190476190476,1.30089146130809,13,10.4166666666667
"85",8,"CT","CT",15.4305555555556,2.35751359919097,18.0416666666667,13.4583333333333
"86",8,"CT","PR",8.70833333333333,3.83310687736898,12.2916666666667,4.66666666666667
"87",8,"CT","PU",9.90277777777778,1.31255511348131,11.4166666666667,9.08333333333333
"88",8,"F10","CT",14.4277777777778,6.98561186641143,22.375,9.25833333333333
"89",8,"F10","PR",5.725,1.35930435640196,6.83333333333333,4.20833333333333
"90",8,"F10","PU",11.9027777777778,2.06337663749209,14,9.875
"91",8,"F2","CT",14.9166666666667,1.06066017177982,15.6666666666667,14.1666666666667
"92",8,"F2","PR",7.70416666666667,1.87972552665424,9.03333333333333,6.375
"93",8,"F2","PU",8.6875,0.55979286843935,9.08333333333333,8.29166666666667
"94",8,"F5","CT",13.0694444444444,3.03461892781236,16.3333333333333,10.3333333333333
"95",8,"F5","PR",7.65277777777778,1.99405946454667,9.08333333333333,5.375
"96",8,"F5","PU",9.225,2.29184847763644,11.5,6.91666666666667
"97",9,"CT","CT",16.5555555555556,1.6117695014877,18.4166666666667,15.625
"98",9,"CT","PR",4.16666666666667,1.4185037108791,5.41666666666667,2.625
"99",9,"CT","PU",13.0833333333333,1.74154704533386,15.0416666666667,11.7083333333333
"100",9,"F10","CT",15.3611111111111,4.63162688400011,20.6666666666667,12.125
"101",9,"F10","PR",6.06944444444444,1.23626715619298,7.375,4.91666666666667
"102",9,"F10","PU",13.7083333333333,3.15100292675911,16.9583333333333,10.6666666666667
"103",9,"F2","CT",15.8472222222222,1.53451796026321,16.875,14.0833333333333
"104",9,"F2","PR",4.6875,1.67937860531805,5.875,3.5
"105",9,"F2","PU",10.6041666666667,4.3310290347676,13.6666666666667,7.54166666666667
"106",9,"F5","CT",14.8055555555556,3.09298414576052,16.875,11.25
"107",9,"F5","PR",5.36111111111111,0.251154740555905,5.625,5.125
"108",9,"F5","PU",13.1944444444444,2.43539201346708,16,11.625
"109",10,"CT","CT",10.7808333333333,1.0756984165338,11.45,9.54
"110",10,"CT","PR",6.68666666666667,0.941293436359424,7.75,5.96
"111",10,"CT","PU",8.78833333333333,0.521783799416323,9.39,8.46
"112",10,"F10","CT",11.9616666666667,2.92574919180256,15.34,10.26
"113",10,"F10","PR",7.46,2.88867184013692,10.3,4.525
"114",10,"F10","PU",12.0066666666667,3.28234037438736,14.545,8.3
"115",10,"F2","CT",11.67,1.90211724139181,13.015,10.325
"116",10,"F2","PR",7.3175,0.590434162290767,7.735,6.9
"117",10,"F2","PU",10.05,2.72236110756821,11.975,8.125
"118",10,"F5","CT",11.4766666666667,0.786929687668049,12.025,10.575
"119",10,"F5","PR",7.78,0.859258401180926,8.525,6.84
"120",10,"F5","PU",10.8083333333333,1.65403546918841,12.525,9.225
"121",11,"CT","CT",13.4175,2.02019336945749,14.68,11.0875
"122",11,"CT","PR",4.87333333333333,0.917337633226357,5.635,3.855
"123",11,"CT","PU",11.705,0.704059656563278,12.465,11.075
"124",11,"F10","CT",15.475,2.89838316997598,18.6,12.875
