"","date","block","plot","old_id","rep","t_num","g_ht","y_ht","max_ht","y_pct","clip_id","d_sub2","clip"
"132","6/19/2021",1,"F2",NA,2,3,12,NA,12,"-100","PU1",10,"PU"
"133","6/19/2021",1,"F2",NA,3,2,5.5,NA,5.5,"-100","PR2",10,"PR"
"134","6/19/2021",1,"F2",NA,3,2,13.5,NA,13.5,"-100","CT1",10,"CT"
"135","6/19/2021",1,"F2",NA,3,3,5,NA,5,"-100","PR1",10,"PR"
"136","6/19/2021",1,"F2",NA,3,3,7,NA,7,"-100","PU2",10,"PU"
"137","6/19/2021",1,"F2",NA,3,3,13,NA,13,"-100","CT2",10,"CT"
"138","6/19/2021",1,"F2",NA,3,4,12.5,NA,12.5,"-100","PU1",10,"PU"
"139","6/19/2021",1,"F2",NA,4,2,4,NA,4,"-100","CT1",10,"CT"
"140","6/19/2021",1,"F2",NA,4,2,5,NA,5,"-100","PU2",10,"PU"
"141","6/19/2021",1,"F2",NA,4,3,5.5,NA,5.5,"-100","PR1",10,"PR"
"142","6/19/2021",1,"F2",NA,4,3,7,NA,7,"-100","PR2",10,"PR"
"143","6/19/2021",1,"F2",NA,4,3,18,NA,18,"-100","CT2",10,"CT"
"144","6/19/2021",1,"F2",NA,4,4,8,NA,8,"-100","PU1",10,"PU"
"145","6/19/2021",1,"F2",NA,5,2,5.5,NA,5.5,"-100","PR1",10,"PR"
"146","6/19/2021",1,"F2",NA,5,2,7.5,NA,7.5,"-100","PU2",10,"PU"
"147","6/19/2021",1,"F2",NA,5,2,8.5,NA,8.5,"-100","PR2",10,"PR"
"148","6/19/2021",1,"F2",NA,5,2,9,NA,9,"-100","CT1",10,"CT"
"149","6/19/2021",1,"F2",NA,5,3,9,NA,9,"-100","PU1",10,"PU"
"150","6/19/2021",1,"F2",NA,5,3,10.5,NA,10.5,"-100","CT2",10,"CT"
"151","6/19/2021",1,"F2",NA,6,1,6.5,NA,6.5,"-100","PR2",10,"PR"
"152","6/19/2021",1,"F2",NA,6,2,7,NA,7,"-100","PU1",10,"PU"
"153","6/19/2021",1,"F2",NA,6,2,7.5,NA,7.5,"-100","PU2",10,"PU"
"154","6/19/2021",1,"F2",NA,6,3,9,NA,9,"-100","PR1",10,"PR"
"155","6/19/2021",1,"F2",NA,6,3,9.5,NA,9.5,"-100","CT2",10,"CT"
"156","6/19/2021",1,"F2",NA,6,3,12.5,NA,12.5,"-100","CT1",10,"CT"
"157","6/19/2021",1,"F2",NA,7,1,4.5,NA,4.5,"-100","CT1",10,"CT"
"158","6/19/2021",1,"F2",NA,7,1,5.5,NA,5.5,"-100","PU2",10,"PU"
"159","6/19/2021",1,"F2",NA,7,2,5.5,NA,5.5,"-100","PR1",10,"PR"
"160","6/19/2021",1,"F2",NA,7,2,11.5,NA,11.5,"-100","CT2",10,"CT"
"161","6/19/2021",1,"F2",NA,7,2,12,NA,12,"-100","PU1",10,"PU"
"162","6/19/2021",1,"F2",NA,7,3,7,NA,7,"-100","PR2",10,"PR"
"163","6/19/2021",1,"F2",NA,8,2,8.5,NA,8.5,"-100","PR1",10,"PR"
"164","6/19/2021",1,"F2",NA,8,3,6.5,NA,6.5,"-100","PR2",10,"PR"
"165","6/19/2021",1,"F2",NA,8,3,9,NA,9,"-100","CT1",10,"CT"
"166","6/19/2021",1,"F2",NA,8,3,10.5,NA,10.5,"-100","CT2",10,"CT"
"167","6/19/2021",1,"F2",NA,8,3,11,NA,11,"-100","PU1",10,"PU"
"168","6/19/2021",1,"F2",NA,8,4,10,NA,10,"-100","PU2",10,"PU"
"169","6/19/2021",1,"F2",NA,9,2,7,NA,7,"-100","PR2",10,"PR"
"170","6/19/2021",1,"F2",NA,9,2,7.5,NA,7.5,"-100","PR1",10,"PR"
"171","6/19/2021",1,"F2",NA,9,2,9.5,NA,9.5,"-100","CT1",10,"CT"
"172","6/19/2021",1,"F2",NA,9,2,12,NA,12,"-100","CT2",10,"CT"
"173","6/19/2021",1,"F2",NA,9,2,12.75,NA,12.75,"-100","PU1",10,"PU"
"174","6/19/2021",1,"F2",NA,9,3,7,NA,7,"-100","PU2",10,"PU"
"175","6/19/2021",1,"F2",NA,10,1,13,NA,13,"-100","CT2",10,"CT"
"176","6/19/2021",1,"F2",NA,10,2,7,NA,7,"-100","PU1",10,"PU"
"177","6/19/2021",1,"F2",NA,10,2,11.5,NA,11.5,"-100","CT1",10,"CT"
"178","6/19/2021",1,"F2",NA,10,3,8.5,NA,8.5,"-100","PR1",10,"PR"
"179","6/19/2021",1,"F2",NA,10,4,3.5,NA,3.5,"-100","PU2",10,"PU"
"180","6/19/2021",1,"F2",NA,10,4,6,NA,6,"-100","PR2",10,"PR"
"181","6/19/2021",1,"F5",NA,1,2,5,NA,5,"-100","PU1",10,"PU"
"182","6/19/2021",1,"F5",NA,1,2,12,NA,12,"-100","CT2",10,"CT"
"183","6/19/2021",1,"F5",NA,1,2,12.5,NA,12.5,"-100","PR2",10,"PR"
"184","6/19/2021",1,"F5",NA,1,2,13.5,NA,13.5,"-100","PU2",10,"PU"
"185","6/19/2021",1,"F5",NA,1,3,11,NA,11,"-100","PR1",10,"PR"
"186","6/19/2021",1,"F5",NA,1,3,18,NA,18,"-100","CT1",10,"CT"
"187","6/19/2021",1,"F5",NA,2,1,9,NA,9,"-100","PU2",10,"PU"
"188","6/19/2021",1,"F5",NA,2,2,9.5,NA,9.5,"-100","CT2",10,"CT"
"189","6/19/2021",1,"F5",NA,2,2,12,NA,12,"-100","PR1",10,"PR"
"190","6/19/2021",1,"F5",NA,2,2,12.5,NA,12.5,"-100","PU1",10,"PU"
"191","6/19/2021",1,"F5",NA,2,3,5.5,NA,5.5,"-100","PR2",10,"PR"
"192","6/19/2021",1,"F5",NA,2,3,10.5,NA,10.5,"-100","CT1",10,"CT"
"193","6/19/2021",1,"F5",NA,3,1,3,NA,3,"-100","CT2",10,"CT"
"194","6/19/2021",1,"F5",NA,3,2,6.5,NA,6.5,"-100","PR2",10,"PR"
"195","6/19/2021",1,"F5",NA,3,2,6.5,NA,6.5,"-100","PU1",10,"PU"
"196","6/19/2021",1,"F5",NA,3,2,9.5,NA,9.5,"-100","PU2",10,"PU"
"197","6/19/2021",1,"F5",NA,3,3,10.5,NA,10.5,"-100","PR1",10,"PR"
"198","6/19/2021",1,"F5",NA,3,3,16,NA,16,"-100","CT1",10,"CT"
"199","6/19/2021",1,"F5",NA,4,1,3,NA,3,"-100","PR2",10,"PR"
