date,block,plot,old_id,clip_id,rep,t_num,g_ht,y_ht,max_ht,y_pct
6/19/2021,1,F5,,PU2,8,2,15,,15,-100
6/19/2021,1,F5,,PU2,9,3,13,,13,-100
6/19/2021,1,F5,,PU2,10,2,14,,14,-100
6/19/2021,1,F5,,PR1,1,3,11,,11,-100
6/19/2021,1,F5,,PR1,2,2,12,,12,-100
6/19/2021,1,F5,,PR1,3,3,10.5,,10.5,-100
6/19/2021,1,F5,,PR1,4,2,5.5,,5.5,-100
6/19/2021,1,F5,,PR1,5,2,7.5,,7.5,-100
6/19/2021,1,F5,,PR1,6,2,9.5,,9.5,-100
6/19/2021,1,F5,,PR1,7,3,11.5,,11.5,-100
6/19/2021,1,F5,,PR1,8,5,15.5,,15.5,-100
6/19/2021,1,F5,,PR1,9,2,10.5,,10.5,-100
6/19/2021,1,F5,,PR1,10,2,13,,13,-100
6/19/2021,1,F5,,PR2,1,2,12.5,,12.5,-100
6/19/2021,1,F5,,PR2,2,3,5.5,,5.5,-100
6/19/2021,1,F5,,PR2,3,2,6.5,,6.5,-100
6/19/2021,1,F5,,PR2,4,1,3,,3,-100
6/19/2021,1,F5,,PR2,5,2,4,,4,-100
6/19/2021,1,F5,,PR2,6,2,3,,3,-100
6/19/2021,1,F5,,PR2,7,2,3,,3,-100
6/19/2021,1,F5,,PR2,8,2,5.5,,5.5,-100
6/19/2021,1,F5,,PR2,9,2,9,,9,-100
6/19/2021,1,F5,,PR2,10,2,1,,1,-100
6/19/2021,1,F10,,CT1,1,3,12,,12,-100
6/19/2021,1,F10,,CT1,2,3,10,,10,-100
6/19/2021,1,F10,,CT1,3,3,10,,10,-100
6/19/2021,1,F10,,CT1,4,2,14,,14,-100
6/19/2021,1,F10,,CT1,5,3,11.5,,11.5,-100
6/19/2021,1,F10,,CT1,6,1,6,,6,-100
6/19/2021,1,F10,,CT1,7,1,9,,9,-100
6/19/2021,1,F10,,CT1,8,3,10,,10,-100
6/19/2021,1,F10,,CT1,9,3,10,,10,-100
6/19/2021,1,F10,,CT1,10,2,11.5,,11.5,-100
6/19/2021,1,F10,,CT2,1,2,12.1,,12.1,-100
6/19/2021,1,F10,,CT2,2,2,9.2,,9.2,-100
6/19/2021,1,F10,,CT2,3,4,11.3,,11.3,-100
6/19/2021,1,F10,,CT2,4,3,8.6,,8.6,-100
6/19/2021,1,F10,,CT2,5,2,11,,11,-100
6/19/2021,1,F10,,CT2,6,2,10.5,,10.5,-100
6/19/2021,1,F10,,CT2,7,4,8.1,,8.1,-100
6/19/2021,1,F10,,CT2,8,4,10.8,,10.8,-100
6/19/2021,1,F10,,CT2,9,2,10,,10,-100
6/19/2021,1,F10,,CT2,10,2,9.6,,9.6,-100
6/19/2021,1,F10,,PU1,1,2,7.5,,7.5,-100
6/19/2021,1,F10,,PU1,2,2,8.5,,8.5,-100
6/19/2021,1,F10,,PU1,3,2,16.5,,16.5,-100
6/19/2021,1,F10,,PU1,4,3,17.5,,17.5,-100
6/19/2021,1,F10,,PU1,5,3,19,,19,-100
6/19/2021,1,F10,,PU1,6,2,11.5,,11.5,-100
6/19/2021,1,F10,,PU1,7,2,15.5,,15.5,-100
6/19/2021,1,F10,,PU1,8,2,11.5,,11.5,-100
6/19/2021,1,F10,,PU1,9,2,13.5,,13.5,-100
6/19/2021,1,F10,,PU1,10,2,10.5,,10.5,-100
6/19/2021,1,F10,,PU2,1,3,10.5,,10.5,-100
6/19/2021,1,F10,,PU2,2,7,12.5,,12.5,-100
6/19/2021,1,F10,,PU2,3,3,14.3,,14.3,-100
6/19/2021,1,F10,,PU2,4,6,19,,19,-100
6/19/2021,1,F10,,PU2,5,2,15.2,,15.2,-100
6/19/2021,1,F10,,PU2,6,2,12.5,,12.5,-100
6/19/2021,1,F10,,PU2,7,2,12.5,,12.5,-100
6/19/2021,1,F10,,PU2,8,2,16,,16,-100
6/19/2021,1,F10,,PU2,9,3,10,,10,-100
6/19/2021,1,F10,,PU2,10,2,9.5,,9.5,-100
6/19/2021,1,F10,,PR1,1,2,5,,5,-100
6/19/2021,1,F10,,PR1,2,2,2,,2,-100
6/19/2021,1,F10,,PR1,3,3,5,,5,-100
6/19/2021,1,F10,,PR1,4,3,8.2,,8.2,-100
6/19/2021,1,F10,,PR1,5,2,5.5,,5.5,-100
6/19/2021,1,F10,,PR1,6,3,5,,5,-100
6/19/2021,1,F10,,PR1,7,2,6.6,,6.6,-100
6/19/2021,1,F10,,PR1,8,2,4.3,,4.3,-100
6/19/2021,1,F10,,PR1,9,1,7.5,,7.5,-100
6/19/2021,1,F10,,PR1,10,2,6,,6,-100
6/19/2021,1,F10,,PR2,1,3,9.5,,9.5,-100
6/19/2021,1,F10,,PR2,2,3,8,,8,-100
6/19/2021,1,F10,,PR2,3,2,11,,11,-100
6/19/2021,1,F10,,PR2,4,3,8.5,,8.5,-100
6/19/2021,1,F10,,PR2,5,3,10,,10,-100
6/19/2021,1,F10,,PR2,6,3,12.25,,12.25,-100
6/19/2021,1,F10,,PR2,7,3,8.5,,8.5,-100
6/19/2021,1,F10,,PR2,8,3,8.25,,8.25,-100
6/19/2021,1,F10,,PR2,9,2,8,,8,-100
6/19/2021,1,F10,,PR2,10,3,12,,12,-100
6/19/2021,2,CT,,CT1,1,3,13.1,,13.1,-100
6/19/2021,2,CT,,CT1,2,3,12.4,,12.4,-100
6/19/2021,2,CT,,CT1,3,3,11.3,,11.3,-100
6/19/2021,2,CT,,CT1,4,3,11.1,,11.1,-100
6/19/2021,2,CT,,CT1,5,3,11.6,,11.6,-100
6/19/2021,2,CT,,CT1,6,3,15,,15,-100
6/19/2021,2,CT,,CT1,7,3,13.8,,13.8,-100
6/19/2021,2,CT,,CT1,8,3,11,,11,-100
6/19/2021,2,CT,,CT1,9,3,13.4,,13.4,-100
6/19/2021,2,CT,,CT1,10,3,12,,12,-100
6/19/2021,2,CT,,CT2,1,2,7.5,,7.5,-100
6/19/2021,2,CT,,CT2,2,3,9,,9,-100
6/19/2021,2,CT,,CT2,3,3,12.1,,12.1,-100
6/19/2021,2,CT,,CT2,4,2,9.75,,9.75,-100
6/19/2021,2,CT,,CT2,5,3,12,,12,-100
6/19/2021,2,CT,,CT2,6,3,11,,11,-100
6/19/2021,2,CT,,CT2,7,2,12.5,,12.5,-100
6/19/2021,2,CT,,CT2,8,3,9,,9,-100
6/19/2021,2,CT,,CT2,9,3,8.5,,8.5,-100
6/19/2021,2,CT,,CT2,10,3,11,,11,-100
6/19/2021,2,CT,,PU1,1,3,8.5,,8.5,-100
6/19/2021,2,CT,,PU1,2,3,8.5,,8.5,-100
6/19/2021,2,CT,,PU1,3,2,12,,12,-100
6/19/2021,2,CT,,PU1,4,1,5,,5,-100
6/19/2021,2,CT,,PU1,5,2,10.5,,10.5,-100
6/19/2021,2,CT,,PU1,6,3,9,,9,-100
6/19/2021,2,CT,,PU1,7,3,9.5,,9.5,-100
6/19/2021,2,CT,,PU1,8,3,8.5,,8.5,-100
